tra_or_occ,transit_time,sigma_transit_time,epoch
occ,1489813610.9103856,95.03999948501587,1397
tra,1506740216.7696805,48.38400638103485,1577
tra,1508814811.2335608,19.87199032306671,1599
tra,1509663562.4974473,25.91999614238739,1608
tra,1510795090.5932355,19.007983803749084,1620
tra,1510889389.2812097,29.3759822845459,1621
tra,1511172311.2651663,24.191982984542847,1624
tra,1515132804.3199522,23.3280166387558,1666
tra,1515227128.9279127,30.239988803863525,1667
tra,1515887171.3596973,26.784002780914307,1674
tra,1516075825.759618,27.648009300231934,1676
tra,1516264427.4555805,28.51201593875885,1678
tra,1517867389.375069,43.2000070810318,1695
tra,1517867486.1430817,26.784002780914307,1695
tra,1517961761.5030348,27.648009300231934,1696
tra,1518244726.6869898,78.62399518489838,1699
tra,1518433267.0389404,30.239988923072815,1701
tra,1518433243.710924,22.46401011943817,1701
tra,1518527558.8149,18.144017457962036,1702
tra,1518527527.7109044,29.3759822845459,1702
tra,1518810475.6148145,29.3759822845459,1705
tra,1519847732.670615,32.832008600234985,1716
tra,1540027654.4976337,34.55998158454895,1930
tra,1545214040.8644383,22.46401011943817,1985
occ,1546392681.152069,120.95999562740326,1997
tra,1547194340.09577,25.91999614238739,2006
occ,1547618825.0236158,66.52798354625702,2010
occ,1547995888.4475234,75.16800904273987,2014
tra,1548231561.7274222,38.01600790023804,2017
occ,1548372999.3913934,78.62399518489838,2018
occ,1549127428.6391513,63.93600404262543,2026
