tra_or_occ,mid_time,mid_time_err,epoch
occ,2457830.7130892407,0.0011,1397
tra,2458026.622879279,0.00056,1577
tra,2458050.6343892775,0.00023,1599
tra,2458060.457899276,0.0003,1608
tra,2458073.5542892735,0.00022,1620
tra,2458074.6457092734,0.00034,1621
tra,2458077.9202692728,0.00028,1624
tra,2458123.759309259,0.00027,1666
tra,2458124.851029258,0.00035,1667
tra,2458132.490409256,0.00031,1674
tra,2458134.673909255,0.00032,1676
tra,2458136.856799254,0.00033,1678
tra,2458155.4095992483,0.0005,1695
tra,2458155.4107192485,0.00031,1695
tra,2458156.501869248,0.00032,1696
tra,2458159.7769292477,0.00091,1699
tra,2458161.959109247,0.00035,1701
tra,2458161.958839247,0.00026,1701
tra,2458163.0504492465,0.00021,1702
tra,2458163.0500892466,0.00034,1702
tra,2458166.3249492454,0.00034,1705
tra,2458178.3302392433,0.00038,1716
tra,2458411.8941492783,0.0004,1930
tra,2458471.921769264,0.00026,1985
occ,2458485.5634392602,0.0014,1997
tra,2458494.8418992567,0.0003,2006
occ,2458499.7549192547,0.00077,2010
occ,2458504.1190792536,0.00087,2014
tra,2458506.8467792524,0.00044,2017
occ,2458508.483789252,0.00091,2018
occ,2458517.2156092497,0.00074,2026
